"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"PBIP","Prudential Bancorp, Inc.","14.71","126696317.98","n/a","n/a","Finance","Banks","http://www.nasdaq.com/symbol/pbip",
"PSBH","PSB Holdings, Inc.","9.5199","62275006.5639","n/a","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/psbh",
"PSDV","pSivida Corp.","3.94","115904418.1","n/a","n/a","Capital Goods","Biotechnology: Laboratory Analytical Instruments","http://www.nasdaq.com/symbol/psdv",
"PMD","Psychemedics Corporation","11.26","61057811.66","n/a","n/a","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/pmd",
"PTC","PTC Inc.","35.08","4005040100.8","n/a","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/ptc",
"PTCT","PTC Therapeutics, Inc.","29.59","1014093507.46","n/a","2013","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/ptct",
"PULB","Pulaski Financial Corp.","15.36","183923066.88","n/a","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/pulb",
"PULM","Pulmatrix, Inc.","4.8","27870739.2","n/a","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/pulm",
"PCYO","Pure Cycle Corporation","5.16","124034005.68","n/a","n/a","Public Utilities","Water Supply","http://www.nasdaq.com/symbol/pcyo",
"QADA","QAD Inc.","27.1","508293833","n/a","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/qada",
"QADB","QAD Inc.","23.18","434769411.4","n/a","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/qadb",
"QCCO","QC Holdings, Inc.","1.669","28928832.077","n/a","2004","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/qcco",
"QCRH","QCR Holdings, Inc.","21.74","254511049.6","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/qcrh",
"QGEN","Qiagen N.V.","25.65","5972346000","n/a","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/qgen",
"QIWI","QIWI plc","19.81","756958642.16","38210936","2013","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/qiwi",
"QKLS","QKL Stores, Inc.","1.06","1613665.56","n/a","n/a","Consumer Services","Food Chains","http://www.nasdaq.com/symbol/qkls",
"QLIK","Qlik Technologies Inc.","36.81","3399874042.23","n/a","2010","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/qlik",
"QLGC","QLogic Corporation","10.78","944791540","n/a","n/a","Technology","Computer Communications Equipment","http://www.nasdaq.com/symbol/qlgc",
"QLTI","QLT Inc.","3.11","164299427.78","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/qlti",
"QRVO","Qorvo, Inc.","46.85","7005520931.55","n/a","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/qrvo",
"QCOM","QUALCOMM Incorporated","59.1","92858049310.8","n/a","1991","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/qcom",
"QSII","Quality Systems, Inc.","12.85","775075531.7","n/a","1982","Technology","EDP Services","http://www.nasdaq.com/symbol/qsii",
"QBAK","Qualstar Corporation","1.21","14826271.57","n/a","2000","Technology","Electronic Components","http://www.nasdaq.com/symbol/qbak",
"QLYS","Qualys, Inc.","34.95","1191449833.8","n/a","2012","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/qlys",
"QTWW","Quantum Fuel Systems Technologies Worldwide, Inc.","1.39","38951694.78","n/a","n/a","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/qtww",
"QRHC","Quest Resource Holding Corporation.","0.64","71497560.32","n/a","n/a","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/qrhc",
"QUIK","QuickLogic Corporation","1.62","91671255.9","n/a","1999","Technology","Semiconductors","http://www.nasdaq.com/symbol/quik",
"QDEL","Quidel Corporation","18.46","618900149.92","n/a","n/a","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances","http://www.nasdaq.com/symbol/qdel",
